HoldPriorValue,TaxRollYr,TotalAssessedVal
100000,2006,100000
9400,2006,9400
8000,2006,8000
340000,2006,340000
8500,2006,8500
34600,2006,34600
7300,2006,7300
4200,2006,4200
165000,2006,165000
180800,2006,180800
48800,2006,48800
68400,2006,68400
29000,2006,29000
500,2006,500
500,2006,500
210000,2006,210000
30000,2006,30000
70000,2006,70000
22000,2006,22000
24000,2006,24000
28000,2006,28000
26000,2006,26000
24000,2006,24000
24000,2006,24000
24000,2006,24000
24000,2006,24000
24000,2006,24000
28000,2006,28000
24000,2006,24000
12000,2006,12000
37400,2006,37400
35900,2006,35900
6800,2006,6800
26500,2006,26500
26200,2006,26200
7000,2006,7000
32600,2006,32600
35700,2006,35700
1300,2006,1300
32100,2006,32100
28200,2006,28200
22400,2006,22400
26600,2006,26600
19500,2006,19500
16500,2006,16500
10000,2006,10000
603180,2006,603180
500,2006,500
48900,2006,48900
29600,2006,29600
27100,2006,27100
30200,2006,30200
24800,2006,24800
27500,2006,27500
31700,2006,31700
29800,2006,29800
40400,2006,40400
33000,2006,33000
37400,2006,37400
42000,2006,42000
13800,2006,13800
47500,2006,47500
33000,2006,33000
104200,2006,104200
30100,2006,30100
21200,2006,21200
29500,2006,29500
31300,2006,31300
30200,2006,30200
27100,2006,27100
32600,2006,32600
33500,2006,33500
28800,2006,28800
26200,2006,26200
29100,2006,29100
34000,2006,34000
31900,2006,31900
30100,2006,30100
62500,2006,62500
43400,2006,43400
30600,2006,30600
34500,2006,34500
42700,2006,42700
32800,2006,32800
78900,2006,78900
357000,2006,357000
981300,2006,981300
59300,2006,59300
80000,2006,80000
700000,2006,700000
800000,2006,800000
12500,2006,12500
183266,2006,183266
30700,2006,30700
32200,2006,32200
32600,2006,32600
32100,2006,32100
35200,2006,35200
29400,2006,29400
33000,2006,33000
101400,2006,101400
14700,2006,14700
160000,2006,160000
543745,2006,543745
11300,2006,11300
26300,2006,26300
4000,2006,4000
2000,2006,2000
38600,2006,38600
55800,2006,55800
34600,2006,34600
34000,2006,34000
4000,2006,4000
5200,2006,5200
44800,2006,44800
36900,2006,36900
400,2006,400
12000,2006,12000
34700,2006,34700
46500,2006,46500
24500,2006,24500
17300,2006,17300
22450,2006,22450
34700,2006,34700
31500,2006,31500
30100,2006,30100
8500,2006,8500
38000,2006,38000
215000,2006,215000
36800,2006,36800
25600,2006,25600
1300,2006,1300
28400,2006,28400
28900,2006,28900
22700,2006,22700
4800,2006,4800
41400,2006,41400
38065,2006,38065
90900,2006,90900
34600,2006,34600
33700,2006,33700
1300,2006,1300
4800,2006,4800
30300,2006,30300
38400,2006,38400
39300,2006,39300
2000,2006,2000
4700,2006,4700
4600,2006,4600
4300,2006,4300
5900,2006,5900
20700,2006,20700
14900,2006,14900
1500,2006,1500
21000,2006,21000
31000,2006,31000
25860,2006,25860
6000,2006,6000
29000,2006,29000
38900,2006,38900
14333,2006,14333
3000,2006,3000
1000,2006,1000
4600,2006,4600
21000,2006,21000
22400,2006,22400
29200,2006,29200
14300,2006,14300
13800,2006,13800
33200,2006,33200
2600,2006,2600
100,2006,100
600,2006,600
15000,2006,15000
43500,2006,43500
5600,2006,5600
17200,2006,17200
7800,2006,7800
7800,2006,7800
30400,2006,30400
35700,2006,35700
30000,2006,30000
24000,2006,24000
21000,2006,21000
39500,2006,39500
15000,2006,15000
5900,2006,5900
1000,2006,1000
400,2006,400
1600,2006,1600
4000,2006,4000
1600,2006,1600
17000,2006,17000
2000,2006,2000
1700,2006,1700
25300,2006,25300
17000,2006,17000
17600,2006,17600
7000,2006,7000
36800,2006,36800
37900,2006,37900
36500,2006,36500
40300,2006,40300
37800,2006,37800
35700,2006,35700
26000,2006,26000
31000,2006,31000
20000,2006,20000
471100,2006,471100
24400,2006,24400
26400,2006,26400
30700,2006,30700
26800,2006,26800
24200,2006,24200
30600,2006,30600
25000,2006,25000
57800,2006,57800
45000,2006,45000
26400,2006,26400
35400,2006,35400
24911,2006,24911
23900,2006,23900
38900,2006,38900
25600,2006,25600
40600,2006,40600
25800,2006,25800
36000,2006,36000
34900,2006,34900
38400,2006,38400
29400,2006,29400
31300,2006,31300
26400,2006,26400
22900,2006,22900
30700,2006,30700
31200,2006,31200
45900,2006,45900
34100,2006,34100
37900,2006,37900
27700,2006,27700
45200,2006,45200
20000,2006,20000
39200,2006,39200
28700,2006,28700
33200,2006,33200
5400,2006,5400
39600,2006,39600
15000,2006,15000
36100,2006,36100
4800,2006,4800
29000,2006,29000
25300,2006,25300
6600,2006,6600
24400,2006,24400
20000,2006,20000
40500,2006,40500
37800,2006,37800
16200,2006,16200
1800,2006,1800
7200,2006,7200
28000,2006,28000
33000,2006,33000
29400,2006,29400
42200,2006,42200
35600,2006,35600
39600,2006,39600
37000,2006,37000
22000,2006,22000
26900,2006,26900
53500,2006,53500
34200,2006,34200
35900,2006,35900
30600,2006,30600
43400,2006,43400
26100,2006,26100
30000,2006,30000
33600,2006,33600
26200,2006,26200
33000,2006,33000
44300,2006,44300
46600,2006,46600
40000,2006,40000
45500,2006,45500
45000,2006,45000
28600,2006,28600
33600,2006,33600
40600,2006,40600
41200,2006,41200
26800,2006,26800
38500,2006,38500
43900,2006,43900
78500,2006,78500
54500,2006,54500
51000,2006,51000
48500,2006,48500
53300,2006,53300
47500,2006,47500
48350,2006,48350
48350,2006,48350
49500,2006,49500
52000,2006,52000
58300,2006,58300
49800,2006,49800
48500,2006,48500
14000,2006,14000
29400,2006,29400
48500,2006,48500
37000,2006,37000
35500,2006,35500
40200,2006,40200
17900,2006,17900
39500,2006,39500
